"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60"
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,73.27,20,13.23,26.16,-0.86,-0.026,0.06,0.07
"Aaron Johnson","AARON.JOHNSON","8469534","07-08","NYI","D","L",1983-04-30,24,2001,3,85,30,342.2,30,12.27,26.66,0.02,0.006,0.08,0.05
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,460.53,26,12.62,27.02,2.42,0.073,0.22,0.29
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY","D","L",1983-04-30,26,2001,3,85,22,253.17,22,12.8,26.5,1.21,0.025,0.18,0.2
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","EDM","D","L",1983-04-30,26,2001,3,85,19,301.17,22,12.48,25.83,-2.3,-0.072,-0.06,-0.09
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,793.07,37,12.82,26.58,-0.51,-0.006,0.17,0.12
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,138.4,22,13.62,27.25,2.22,0.068,0.23,0.18
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,66.07,18,11.93,24.81,-1.19,-0.051,0.04,-0.09
"Aaron Miller","AARON.MILLER","8457384","07-08","VAN","D","R",1971-08-11,36,1989,5,88,57,828.23,29,12.32,26.75,-0.33,-0.015,0.21,0.13
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,149.23,20,14.25,28.11,-1.32,-0.011,0.01,0.05
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,273.02,23,12.94,26.09,-0.08,-0.026,-0.02,0.05
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,97.35,20,11.9,24.03,-0.85,-0.03,0.24,0.06
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.67,17,12.5,25.33,0.86,0.069,0.33,0.36
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,94.7,23,12.98,26.26,-0.6,-0.024,0.16,0.18
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,292.63,22,13.17,26.32,-0.2,0.016,0.11,0.11
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.83,15,13.16,26.46,-0.55,-0.018,0.01,0.13
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,23.78,18,12.78,26.56,0.56,-0.004,-0.1,0.05
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,282.68,30,12.68,26.3,-1.16,-0.041,0.07,0.04
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,263.12,26,14.45,29.25,-0.26,-0.018,0.08,0.11
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,17.52,19,13.76,27.61,0.39,0.013,0.13,0.1
"Aaron Rome","AARON.ROME","8470310","07-08","CBJ","D","L",1983-09-27,23,2002,4,104,17,259.82,26,12.27,26.73,1.37,0.06,0.21,0.24
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,113.35,21,12.22,25.74,0.83,0.033,0.14,0.23
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,678.53,29,13.3,28.07,1.66,0.047,0.29,0.3
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,846.1,34,13.07,27.14,1.66,0.019,0.18,0.23
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,598.7,30,13.24,26.88,1.54,0.001,0.22,0.24
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,366.13,29,12.93,26.93,-0.7,-0.044,0.15,0.15
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,299.92,24,12.97,26.5,0.36,0.026,0.09,0.16
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,97.28,22,12.63,26.22,-1.33,-0.055,0.09,0.06
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,202.92,23,12.98,26.45,-0.26,-0.072,0.09,0.09
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN","L","L",1985-05-30,27,2003,NA,NA,16,114.73,20,13.17,26.89,-1,-0.06,-0.11,-0.06
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","WSH","L","L",1985-05-30,27,2003,NA,NA,17,156.35,21,13.89,28.17,-0.47,0.024,0.16,0.23
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,299.48,26,12.83,25.91,-0.86,-0.018,0.14,0.14
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.23,14,13.79,27.59,0.43,0.089,0.28,0.23
"Aaron Voros","AARON.VOROS","8469672","07-08","MIN","L","L",1981-07-02,26,2001,8,229,55,422.58,25,13.8,29.32,-0.11,0.01,0.35,0.29
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,511.88,24,13.95,29.63,1.84,0.011,-0.01,0.09
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,249.15,28,12.92,27,-0.57,-0.04,-0.1,0.02
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.32,29,12.09,24.89,-2.66,-0.113,-0.23,-0.06
"Aaron Ward","AARON.WARD","8458519","07-08","BOS","D","R",1973-01-17,34,1991,1,5,64,1051.48,26,13.36,28.21,0.82,-0.004,0.21,0.17
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1034.47,27,13.47,28.08,1.7,0.053,0.31,0.33
"Aaron Ward","AARON.WARD","8458519","09-10","ANA","D","R",1973-01-17,36,1991,1,5,17,216.15,23,13.19,27.35,0.73,-0.002,0.1,0.21
"Aaron Ward","AARON.WARD","8458519","09-10","CAR","D","R",1973-01-17,36,1991,1,5,59,903.12,28,13.29,28.03,0.24,-0.039,0.1,0.12
"Aatu Raty","AATU.RATY","8482691","22-23","NYI","C","L",2002-11-14,19,2021,2,52,12,97.35,23,13.77,27.41,-0.23,-0.035,0.11,0.12
"Aatu Raty","AATU.RATY","8482691","22-23","VAN","C","L",2002-11-14,19,2021,2,52,3,20.43,19,13.62,27.35,-2,-0.065,-0.01,0.01
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,31.52,17,13.53,27.66,0.16,-0.002,0.17,0.16
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,27.02,18,12.66,25.83,1.08,0.058,0,0.22
"Adam Beckman","ADAM.BECKMAN","8481550","22-23","MIN","L","L",2001-05-10,21,2019,3,75,9,88.87,24,14.26,28.66,0.13,0.031,0.12,0.1
"Adam Berti","ADAM.BERTI","8471281","07-08","CHI","L","L",1986-07-01,21,2004,3,68,2,19.85,15,11.47,25.28,-1.4,-0.081,-0.14,-0.05
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,563.95,26,14,28.11,-0.31,-0.051,0.14,0.13
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,459.97,30,14.17,28.32,-0.96,-0.071,0.06,0.08
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,52,763.55,30,13.63,27.13,-0.17,-0.065,0.16,0.14
"Adam Boqvist","ADAM.BOQVIST","8480871","22-23","CBJ","D","R",2000-08-15,22,2018,1,8,46,695.03,38,13.74,27.24,-1.49,-0.081,0.05,0.05
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,51.6,21,13.06,25.71,-0.43,0.008,0.14,0.11
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,110.38,24,13.57,27.02,1.13,0.061,0.34,0.28
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL","C","L",1996-05-06,25,2016,4,92,4,38.15,20,13.8,27.87,0.19,-0.018,0.1,0.1
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,74.08,25,14.4,28.25,1.27,0.071,0.27,0.24
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,14,101.28,28,13.01,25.92,-1.35,-0.025,-0.03,0
"Adam Burish","ADAM.BURISH","8470063","07-08","CHI","R","R",1983-01-06,24,2002,9,282,80,682.63,39,12.62,27.92,0.37,-0.008,0.05,0.22
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,476.43,27,12.32,26.35,1.39,0.018,0.17,0.2
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,112.07,22,13.6,27.52,1.75,0.071,0.28,0.26
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,754.28,28,14.11,29.21,-0.49,-0.026,0.19,0.13
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,693.18,27,14.15,28.72,0.94,0.003,0.22,0.16
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,422.57,28,13.88,27.59,0.84,0.047,0.08,0.08
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,125.27,22,13.56,27.12,0.92,0.08,0.17,0.1
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,190.88,23,13.45,26.8,-0.23,-0.004,0.07,0.17
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI","D","R",1992-10-26,21,2011,2,36,4,37.15,18,12.81,25.49,0.96,-0.002,0.2,0.2
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","VAN","D","R",1992-10-26,21,2011,2,36,17,262.68,21,12.94,26.14,-1.04,-0.079,0.08,0.13
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM","D","R",1992-10-26,22,2011,2,36,20,286.9,28,13.82,28.02,-1.22,-0.026,0.06,0.06
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","PIT","D","R",1992-10-26,22,2011,2,36,9,112.28,25,13.25,26.9,0.72,0.059,0.16,0.23
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,438.05,27,13.43,26.66,0.18,0.008,0.26,0.23
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,76.33,20,13.88,27.38,-0.11,-0.035,0.1,0.11
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,35.47,19,12.34,24.32,0.41,0.025,0.23,0.3
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,206.52,29,12.88,26.21,-0.7,-0.029,0.08,0.12
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,14.07,16,12.45,25.24,1.84,0.072,0.03,0.14
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,170.95,23,13.21,26.54,0.14,0.043,0.27,0.25
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,150.85,25,13.21,27.05,-0.25,0.001,0.12,0.16
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,157.73,30,13.08,26.84,-2.42,-0.095,-0.05,-0.06
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM","R","R",1985-07-15,30,2004,9,279,8,83.95,22,13.27,27,-1.32,-0.048,-0.06,-0.05
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","VAN","R","R",1985-07-15,30,2004,9,279,44,505.15,28,14.19,28.47,-1.02,-0.099,-0.03,-0.05
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,677.6,29,13.81,27.76,-0.06,0.018,0.08,0.11
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL","R","R",1985-07-15,32,2004,9,279,1,8.58,12,13.7,27.88,0.75,0.051,0.21,0.3
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","NYR","R","R",1985-07-15,32,2004,9,279,4,25.25,20,14.17,28.43,-2.18,-0.056,-0.03,0.02
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.5,19,13.91,27.82,-0.75,-0.069,-0.11,-0.04
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,278.82,28,13.87,28.05,0.62,0.038,0.13,0.17
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,229.85,24,13.6,27.67,0.29,0.028,0.22,0.28
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,631.37,24,13.52,27.44,0.47,0.057,0.32,0.32
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,599.72,32,13.61,27.94,-2.39,-0.13,-0.27,-0.18
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,546.73,30,14.13,28.07,-1.27,-0.049,0.04,-0.04
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,79,961.33,31,14.33,28.38,-1.46,-0.068,0.05,0.02
"Adam Erne","ADAM.ERNE","8477454","22-23","DET","L","L",1995-04-20,27,2013,2,33,61,700.9,30,14.12,28.56,-1.27,-0.031,0.1,0.1
"Adam Foote","ADAM.FOOTE","8456283","07-08","CBJ","D","R",1971-07-10,36,1989,2,22,63,1162.62,27,13.26,28.92,1.69,0.086,0.3,0.24
"Adam Foote","ADAM.FOOTE","8456283","07-08","COL","D","R",1971-07-10,36,1989,2,22,12,199.3,23,13.54,28.81,-0.42,0.018,0.34,0.24
"Adam Foote","ADAM.FOOTE","8456283","08-09","COL","D","R",1971-07-10,37,1989,2,22,42,661.72,25,13.39,28.2,-0.67,0.016,0.2,0.15
"Adam Foote","ADAM.FOOTE","8456283","09-10","COL","D","R",1971-07-10,38,1989,2,22,67,1093.4,33,13.48,27.97,-0.45,0.023,0.24,0.27
"Adam Foote","ADAM.FOOTE","8456283","10-11","COL","D","R",1971-07-10,39,1989,2,22,47,695.63,30,13.46,27.8,-0.61,0.01,0.23,0.21
"Adam Fox","ADAM.FOX","8479323","19-20","NYR","D","R",1998-02-17,21,2016,3,66,70,1149.98,26,13.22,27.27,-1.29,-0.036,0.17,0.16
"Adam Fox","ADAM.FOX","8479323","20-21","NYR","D","R",1998-02-17,22,2016,3,66,55,980.62,29,13.65,27.74,0.31,0.011,0.25,0.24
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,78,1420.77,31,14.06,27.78,-1.13,-0.006,0.14,0.12
"Adam Fox","ADAM.FOX","8479323","22-23","NYR","D","R",1998-02-17,24,2016,3,66,82,1484.22,29,13.96,27.7,0.78,0.035,0.25,0.25
"Adam Gaudette","ADAM.GAUDETTE","8478874","17-18","VAN","C","R",1996-10-03,20,2015,5,149,5,59.87,21,13.72,27.32,-0.26,-0.014,0.14,0.06
"Adam Gaudette","ADAM.GAUDETTE","8478874","18-19","VAN","C","R",1996-10-03,21,2015,5,149,56,534.08,36,13.98,27.98,-0.23,-0.042,0.06,0.07
"Adam Gaudette","ADAM.GAUDETTE","8478874","19-20","VAN","C","R",1996-10-03,22,2015,5,149,59,630.95,28,13.94,28.54,-0.4,-0.034,0.12,0.16
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","CHI","C","R",1996-10-03,23,2015,5,149,7,80.2,23,14.8,29.56,-1.61,-0.058,0.06,0.13
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","VAN","C","R",1996-10-03,23,2015,5,149,33,319.27,26,13.75,28.02,-1.13,-0.061,0.04,0.02
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI","C","R",1996-10-03,24,2015,5,149,8,73.43,24,13.83,27.48,-2.11,-0.065,0.01,0.03
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","OTT","C","R",1996-10-03,24,2015,5,149,50,510.53,34,14.42,29.01,-0.83,-0.04,0.01,0.01
"Adam Ginning","ADAM.GINNING","8480874","22-23","PHI","D","L",2000-01-13,22,2018,2,50,1,16.4,17,13.41,26.67,-0.39,-0.008,0.12,0.06
"Adam Hall","ADAM.HALL","8467925","07-08","PIT","R","R",1980-08-14,27,1999,2,52,46,381.07,28,12.84,28.31,-2.15,-0.017,0.11,0.13
"Adam Hall","ADAM.HALL","8467925","08-09","T.B","R","R",1980-08-14,28,1999,2,52,74,625.88,44,12.72,27.6,-1.53,-0.041,0.07,0.02
"Adam Hall","ADAM.HALL","8467925","10-11","T.B","R","R",1980-08-14,30,1999,2,52,82,953.9,27,13.58,28.31,1.19,0.09,0.21,0.28
"Adam Hall","ADAM.HALL","8467925","11-12","T.B","R","R",1980-08-14,31,1999,2,52,57,502.42,33,14.12,28.53,-1.19,-0.014,0.1,0.15
"Adam Hall","ADAM.HALL","8467925","12-13","CAR","R","R",1980-08-14,32,1999,2,52,6,56.57,21,12.91,26.47,0.01,-0.04,-0.07,-0.01
"Adam Hall","ADAM.HALL","8467925","12-13","PHI","R","R",1980-08-14,32,1999,2,52,11,92.22,22,12.49,26.13,-0.52,-0.018,0.1,0.07
"Adam Hall","ADAM.HALL","8467925","12-13","T.B","R","R",1980-08-14,32,1999,2,52,20,160.53,24,13.35,27.4,-0.89,-0.026,0.13,0.14
"Adam Hall","ADAM.HALL","8467925","13-14","PHI","R","R",1980-08-14,33,1999,2,52,80,539.57,25,12.79,26.86,-1.02,-0.051,0.03,0.03
"Adam Henrique","ADAM.HENRIQUE","8474641","10-11","N.J","C","L",1990-02-06,20,2008,3,82,1,12.6,13,13.88,27.62,0.58,0.048,0.14,0.25
"Adam Henrique","ADAM.HENRIQUE","8474641","11-12","N.J","C","L",1990-02-06,21,2008,3,82,74,1080.32,33,15.92,32,0.71,0.057,0.17,0.26
"Adam Henrique","ADAM.HENRIQUE","8474641","12-13","N.J","C","L",1990-02-06,22,2008,3,82,42,565.88,30,14.8,30.27,2.22,0.101,0.09,0.24
"Adam Henrique","ADAM.HENRIQUE","8474641","13-14","N.J","C","L",1990-02-06,23,2008,3,82,77,1030.8,28,14.68,29.49,1.72,0.053,0.12,0.21
"Adam Henrique","ADAM.HENRIQUE","8474641","14-15","N.J","C","L",1990-02-06,24,2008,3,82,75,1030.48,31,14.81,29.64,-0.45,-0.018,0.07,0.09
"Adam Henrique","ADAM.HENRIQUE","8474641","15-16","N.J","C","L",1990-02-06,25,2008,3,82,80,1112.23,36,14.95,30.48,-0.88,-0.008,0.19,0.15
"Adam Henrique","ADAM.HENRIQUE","8474641","16-17","N.J","C","L",1990-02-06,26,2008,3,82,82,1071.28,35,14.52,29.28,-0.75,-0.03,0.07,0.12
"Adam Henrique","ADAM.HENRIQUE","8474641","17-18","ANA","C","L",1990-02-06,27,2008,3,82,57,772.4,30,14.77,29.63,1.05,0.049,0.16,0.23
"Adam Henrique","ADAM.HENRIQUE","8474641","17-18","N.J","C","L",1990-02-06,27,2008,3,82,24,295.25,22,14.22,28.75,-1.29,-0.028,0.1,0.12
"Adam Henrique","ADAM.HENRIQUE","8474641","18-19","ANA","C","L",1990-02-06,28,2008,3,82,82,1035.15,44,14.6,29.32,-0.55,-0.048,0.07,0.05
"Adam Henrique","ADAM.HENRIQUE","8474641","19-20","ANA","C","L",1990-02-06,29,2008,3,82,71,947.27,33,14.77,29.49,0.36,-0.008,0.08,0.11
"Adam Henrique","ADAM.HENRIQUE","8474641","20-21","ANA","C","L",1990-02-06,30,2008,3,82,45,581.68,30,14.63,28.84,0.28,-0.038,0.09,0.06
"Adam Henrique","ADAM.HENRIQUE","8474641","21-22","ANA","C","L",1990-02-06,31,2008,3,82,58,847.07,33,15.53,30.51,0.27,-0.013,0.16,0.17
"Adam Henrique","ADAM.HENRIQUE","8474641","22-23","ANA","C","L",1990-02-06,32,2008,3,82,62,789.23,31,15.49,30.92,-1.76,-0.173,-0.04,-0.04
"Adam Johnson","ADAM.JOHNSON","8480341","18-19","PIT","C","L",1994-06-22,24,2012,NA,NA,6,31.83,17,12.33,24.48,-1.61,-0.011,0.07,-0.08
"Adam Johnson","ADAM.JOHNSON","8480341","19-20","PIT","C","L",1994-06-22,25,2012,NA,NA,7,46.6,20,13.4,26.57,-0.36,0.018,0.37,0.18
"Adam Larsson","ADAM.LARSSON","8476457","11-12","N.J","D","R",1992-11-12,18,2011,1,4,65,1194.55,33,14.08,28.29,0.56,0.042,0.16,0.22
"Adam Larsson","ADAM.LARSSON","8476457","12-13","N.J","D","R",1992-11-12,19,2011,1,4,37,615.88,31,13.85,28.31,2.31,0.108,0.19,0.23
"Adam Larsson","ADAM.LARSSON","8476457","13-14","N.J","D","R",1992-11-12,20,2011,1,4,26,424.52,27,13.38,26.91,1.83,0.067,0.15,0.21
"Adam Larsson","ADAM.LARSSON","8476457","14-15","N.J","D","R",1992-11-12,21,2011,1,4,64,1100.03,30,13.83,27.69,-0.46,-0.007,0.07,0.14
"Adam Larsson","ADAM.LARSSON","8476457","15-16","N.J","D","R",1992-11-12,22,2011,1,4,82,1520.95,35,13.95,28.46,-1.07,-0.014,0.17,0.15
"Adam Larsson","ADAM.LARSSON","8476457","16-17","EDM","D","R",1992-11-12,23,2011,1,4,79,1428.68,29,14.15,28.15,0.65,0.038,0.2,0.22
"Adam Larsson","ADAM.LARSSON","8476457","17-18","EDM","D","R",1992-11-12,24,2011,1,4,63,1211.13,30,14.42,28.46,0.97,0.049,0.19,0.21
"Adam Larsson","ADAM.LARSSON","8476457","18-19","EDM","D","R",1992-11-12,25,2011,1,4,82,1577.52,35,14.76,29.26,-0.3,-0.031,0.09,0.14
"Adam Larsson","ADAM.LARSSON","8476457","19-20","EDM","D","R",1992-11-12,26,2011,1,4,49,871.58,28,13.96,27.72,-0.58,-0.008,0.18,0.17
"Adam Larsson","ADAM.LARSSON","8476457","20-21","EDM","D","R",1992-11-12,27,2011,1,4,56,943.02,27,13,26.19,-0.62,-0.022,0.11,0.07
"Adam Larsson","ADAM.LARSSON","8476457","21-22","SEA","D","R",1992-11-12,28,2011,1,4,82,1582.8,34,13.67,27.2,0.37,-0.007,0.17,0.17
